FILENAME, ALGORITHM, SIMILARITY, EQUALITY, DIFFERENCE, COMPRESSION RATE, COMPRESSOR, COMPRESSION TIME, DECOMPRESSION TIME, IS SPLITTED
Hol_2D_multi.mat,RPT,1.0,False,2.4766876549620065e-07,4.844845304645395,Bzip2,3.463938300000109,1.3955651999999645,False
Hol_2D_multi.mat,RFT,1.0,False,9.847566252574325e-05,3.8384369586771716,Bzip2,1.4504097999999885,0.8056218000001536,False
Hol_2D_multi.mat,RPT,1.0,False,2.4766876549620065e-07,9.704393130094946,Zfp,2.8635064000000057,0.8810434000001806,True
Hol_2D_multi.mat,RFT,1.0,False,9.847566252574325e-05,0.20749301705612622,Zfp,0.6766002000001663,0.3155653000001166,True
Hol_2D_multi.mat,RPT,1.0,False,2.4766876549620065e-07,5.586668557076891,Zfp,2.455081299999847,0.8837562999999591,False
Hol_2D_multi.mat,RFT,1.0,False,9.847566252574325e-05,0.06372900776611123,Zfp,0.5672171000001072,0.30371500000001106,False
Hol_2D_multi.mat,RPT,1.0,False,2.4766876549620065e-07,7.062339893828384,Zip,2.852974000000131,0.8373877999999877,True
Hol_2D_multi.mat,RFT,1.0,False,9.847566252574325e-05,6.534845516834298,Zip,1.058822699999837,0.26148830000011003,True
Hol_2D_multi.mat,RPT,1.0,False,2.4766876549620065e-07,7.0463232485735166,Zip,2.9169480999998996,0.844376900000043,False
Hol_2D_multi.mat,RFT,1.0,False,9.847566252574325e-05,6.447082499045154,Zip,0.9410050999999839,0.25861139999983607,False
Hol_3D_venus.mat,RPT,1.0,False,3.769728778024728e-07,19.64901785473162,Fpzip,2.516995100000031,0.8989569999998821,True
Hol_3D_venus.mat,RFT,1.0,False,5.841982419951819e-05,10.353419906405403,Fpzip,0.6512771000000157,0.31945100000007187,True
Hol_3D_venus.mat,RPT,1.0,False,3.769728778024728e-07,15.229502793177552,Fpzip,2.5414039999998295,0.9510721000001467,False
Hol_3D_venus.mat,RFT,1.0,False,5.841982419951819e-05,8.512837910826654,Fpzip,0.5955790999998953,0.3333718000001227,False
Hol_3D_venus.mat,RPT,1.0,False,3.769728778024728e-07,7.064286968129229,Gzip,2.887533099999928,0.8397247999998854,True
Hol_3D_venus.mat,RFT,1.0,False,5.841982419951819e-05,6.260627529388163,Gzip,0.9846146000002136,0.27334590000009484,True
Hol_3D_venus.mat,RPT,1.0,False,3.769728778024728e-07,7.042730504662364,Gzip,2.8986913000001095,0.851808500000061,False
Hol_3D_venus.mat,RFT,1.0,False,5.841982419951819e-05,6.264087655235473,Gzip,0.9746471000000838,0.2569519000001037,False
Hol_3D_venus.mat,RPT,1.0,False,3.769728778024728e-07,4.719876891856966,Bzip2,3.3814744999999675,1.3875545000000784,True
Hol_3D_venus.mat,RFT,1.0,False,5.841982419951819e-05,3.9030641524210763,Bzip2,1.471120800000108,0.7922593999999208,True
Hol_3D_venus.mat,RPT,1.0,False,3.769728778024728e-07,4.74567713336651,Bzip2,3.3669938000000457,1.4048533000000134,False
Hol_3D_venus.mat,RFT,1.0,False,5.841982419951819e-05,3.8744909877586275,Bzip2,1.4411141000000498,0.8034652999999707,False
Hol_3D_venus.mat,RPT,1.0,False,3.769728778024728e-07,10.394296410535375,Zfp,2.4907923999999184,0.8901209000000563,True
Hol_3D_venus.mat,RFT,1.0,False,5.841982419951819e-05,0.7845986061118082,Zfp,0.6285184999999274,0.36897149999981593,True
Hol_3D_venus.mat,RPT,1.0,False,3.769728778024728e-07,5.586909680829311,Zfp,2.5061507000000347,0.8930863999999019,False
Hol_3D_venus.mat,RFT,1.0,False,5.841982419951819e-05,0.18853466202165547,Zfp,0.6447951000000103,0.30814299999997274,False
Hol_3D_venus.mat,RPT,1.0,False,3.769728778024728e-07,7.064431642380686,Zip,2.868106500000067,0.8484258000000864,True
Hol_3D_venus.mat,RFT,1.0,False,5.841982419951819e-05,6.26077220363962,Zip,0.9254342000001543,0.25987929999996595,True
Hol_3D_venus.mat,RPT,1.0,False,3.769728778024728e-07,7.042802841788099,Zip,2.8777440000001206,0.8529581000000235,False
Hol_3D_venus.mat,RFT,1.0,False,5.841982419951819e-05,6.264159992361195,Zip,1.0529936999998881,0.2591344000002209,False
